iter	Passed	Remaining
0	57	57100
1	57	28681
2	57	19207
3	58	14459
4	58	11621
5	58	9746
6	59	8407
7	59	7386
8	59	6595
9	60	5970
10	60	5451
11	60	5019
12	61	4660
13	61	4345
14	62	4075
15	62	3841
16	62	3626
17	62	3435
18	63	3269
19	63	3119
20	64	2985
21	64	2861
22	64	2746
23	65	2643
24	65	2547
25	65	2458
26	65	2374
27	66	2299
28	66	2226
29	66	2161
30	67	2097
31	67	2039
32	67	1984
33	67	1931
34	68	1883
35	68	1838
36	68	1794
37	69	1751
38	69	1712
39	69	1674
40	70	1637
41	70	1605
42	70	1573
43	71	1543
44	71	1514
45	71	1486
46	72	1459
47	72	1433
48	72	1408
49	72	1385
50	73	1362
51	73	1340
52	73	1319
53	74	1298
54	74	1278
55	74	1258
56	74	1239
57	75	1220
58	75	1203
59	75	1186
60	75	1169
61	76	1153
62	76	1138
63	76	1123
64	77	1109
65	77	1095
66	77	1081
67	77	1068
68	78	1055
69	78	1042
70	78	1031
71	79	1019
72	79	1008
73	79	997
74	80	987
75	80	976
76	80	966
77	80	956
78	81	946
79	81	937
80	81	928
81	82	919
82	82	908
83	82	900
84	82	892
85	83	884
86	83	876
87	83	869
88	84	862
89	84	854
90	84	846
91	85	838
92	85	831
93	85	824
94	85	818
95	86	811
96	86	805
97	86	799
98	87	792
99	87	786
100	87	780
101	87	774
102	88	768
103	88	762
104	88	756
105	89	751
106	89	746
107	89	740
108	89	735
109	90	730
110	90	725
111	90	720
112	91	715
113	91	710
114	91	705
115	92	701
116	92	696
117	92	691
118	92	686
119	93	682
120	93	678
121	93	674
122	94	670
123	94	666
124	94	662
125	94	658
126	95	653
127	95	649
128	95	646
129	96	643
130	96	639
131	96	635
132	96	631
133	97	628
134	97	624
135	97	621
136	98	617
137	98	614
138	98	611
139	99	608
140	99	605
141	99	601
142	99	597
143	100	594
144	100	592
145	100	588
146	101	586
147	101	584
148	101	581
149	102	578
150	102	575
151	102	573
152	103	570
153	103	567
154	103	565
155	103	562
156	104	559
157	104	556
158	104	554
159	105	551
160	105	548
161	105	546
162	105	543
163	106	541
164	106	539
165	106	536
166	107	534
167	107	532
168	107	530
169	108	528
170	108	526
171	108	524
172	109	522
173	109	519
174	109	517
175	110	515
176	110	513
177	110	510
178	110	508
179	111	506
180	111	504
181	111	503
182	112	500
183	112	498
184	112	497
185	113	495
186	113	493
187	113	491
188	114	489
189	114	488
190	114	486
191	115	485
192	116	485
193	116	484
194	116	482
195	117	481
196	117	480
197	118	478
198	118	476
199	118	474
200	118	472
201	119	470
202	119	469
203	119	467
204	120	465
205	120	463
206	120	462
207	120	460
208	121	458
209	121	457
210	121	455
211	122	453
212	122	452
213	122	450
214	122	449
215	123	447
216	123	445
217	123	444
218	124	442
219	124	440
220	124	439
221	125	438
222	125	436
223	125	435
224	125	433
225	126	432
226	126	430
227	126	429
228	127	427
229	127	426
230	127	424
231	127	423
232	128	422
233	128	420
234	128	419
235	129	418
236	129	417
237	130	416
238	130	415
239	130	414
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	406
247	133	405
248	134	404
249	134	403
250	134	402
251	135	401
252	135	400
253	135	398
254	136	397
255	136	396
256	136	394
257	136	393
258	137	392
259	137	391
260	138	390
